ID,sentence,sentence_shuffled
201,or would you know pursued the ghost the weight and length of the strong coil you bear yourself it was full as heavy and as long as this seven christmas eves ago,weight the strong long pursued ghost as would you the this christmas coil ago as was full the seven heavy know bear length of it and yourself or as and eves you
202,you have laboured on it since,have you on it since laboured
203,it is a ponderous chain scrooge glanced about him on the floor in the expectation of finding himself surrounded by some fifty or sixty fathoms of iron cable but he could see nothing,cable see is him fathoms it in surrounded about by of he himself of chain fifty nothing the the a on expectation sixty but ponderous finding some glanced iron or scrooge could floor
204,jacob he said imploringly,jacob he said imploringly
205,old jacob marley tell me more,jacob more me tell old marley
206,speak comfort to me jacob i have none to give the ghost replied,have speak i to jacob comfort the ghost give to none me replied
207,it comes from other regions ebenezer scrooge and is conveyed by other ministers to other kinds of men,is it other by conveyed scrooge ministers other comes of men and from ebenezer kinds regions other to
208,nor can i tell you what i would,can tell i nor what i you would
209,a very little more is all permitted to me,very more little is permitted a me to all
210,i cannot rest i cannot stay i cannot linger anywhere,i i cannot rest anywhere i linger cannot cannot stay
211,my spirit never walked beyond our countinghousemark mein life my spirit never roved beyond the narrow limits of our moneychanging hole and weary journeys lie before me it was a habit with scrooge whenever he became thoughtful to put his hands in his breeches pockets,beyond spirit our and was it of the his became whenever countinghousemark roved before lie my me walked with his weary never narrow life put moneychanging my he in beyond journeys spirit habit never a to scrooge hole limits thoughtful hands mein our pockets breeches
212,pondering on what the ghost had said he did so now but without lifting up his eyes or getting off his knees,or without his off getting now but the did what ghost pondering so his he had lifting knees up said eyes on
213,you must have been very slow about it jacob scrooge observed in a businesslike manner though with humility and deference,been and have manner it businesslike deference observed humility with must jacob scrooge though a very about slow in you
214,slow the ghost repeated,ghost the slow repeated
215,seven years dead mused scrooge and travelling all the time the whole time said the ghost no rest no peace,said all peace no and travelling the time scrooge ghost years mused the seven the rest no time whole dead
216,incessant torture of remorse you travel fast said scrooge on the wings of the wind replied the ghost you might have got over a great quantity of ground in seven years said scrooge the ghost on hearing this set up another cry and clanked its chain so hideously in the dead silence of the night that the ward would have been justified in indicting it for a nuisance,that great another would hideously have for torture nuisance have the said clanked wind of on this night travel fast been ward seven of and wings up said in a scrooge ground cry over of ghost set hearing the the ghost its of the chain the justified years dead scrooge remorse you might in incessant in silence quantity replied on the indicting the a so you got it
217,oh captive bound and doubleironed cried the phantom not to know that ages of incessant labour by immortal creatures for this earth must pass into eternity before the good of which it is susceptible is all developed,into for it of is developed the which ages doubleironed bound know eternity pass good by of labour incessant before oh captive susceptible not the immortal to that cried and creatures phantom must this is earth all
218,not to know that any christian spirit working kindly in its little sphere whatever it may be will find its mortal life too short for its vast means of usefulness,to usefulness whatever its its find spirit sphere for will in kindly it christian too may short vast mortal be little that its of any working means know life not
219,not to know that no space of regret can make amends for one lifes opportunity misused yet such was i oh such was i but you were always a good man of business jacob faltered scrooge who now began to apply this to himself,such himself was faltered opportunity business not to amends you were space one know no of jacob regret scrooge to man but good to that a i make apply lifes began can oh for misused yet i always such of was this who now
220,business cried the ghost wringing its hands again,ghost its again cried the hands wringing business
221,mankind was my business,was business mankind my
222,the common welfare was my business charity mercy forbearance and benevolence were all my business,were mercy welfare my forbearance business charity my and was benevolence the business common all
223,the dealings of my trade were but a drop of water in the comprehensive ocean of my business it held up its chain at arms length as if that were the cause of all its unavailing grief and flung it heavily upon the ground again,upon the up if were cause that arms heavily the ocean as were at of ground the its business of dealings of length a trade comprehensive flung of in its my chain drop unavailing grief and it the held all again my water but it
224,at this time of the rolling year the spectre said i suffer most,at time the this rolling most of year the said spectre i suffer
225,why did i walk through crowds of fellowbeings with my eyes turned down and never raise them to that blessed star which led the wise men to a poor abode were there no poor homes to which its light would have conducted me scrooge was very much dismayed to hear the spectre going on at this rate and began to quake exceedingly,poor and rate my that eyes and dismayed crowds did there never its me exceedingly was a no going through quake with to scrooge blessed homes poor walk fellowbeings which why this men the would much which were of star wise conducted i them led the have to to hear very abode to at raise began turned spectre light to down on
226,hear me cried the ghost my time is nearly gone i will said scrooge but dont be hard upon me dont be flowery jacob pray how it is that i appear before you in a shape that you can see i may not tell,before but nearly hard may in shape be upon i i you tell you is cried me see be can scrooge dont will time i me ghost gone flowery hear not is the that appear said that dont how it jacob pray my a
227,i have sat invisible beside you many and many a day it was not an agreeable idea,agreeable beside day have i it many invisible an sat not idea and you many was a
228,scrooge shivered and wiped the perspiration from his brow,from his the brow shivered scrooge perspiration wiped and
229,that is no light part of my penance pursued the ghost i am here tonight to warn you that you have yet a chance and hope of escaping my fate,that to no have you i of my and that escaping pursued my yet hope the tonight light you is here chance of warn am fate part a ghost penance
230,a chance and hope of my procuring ebenezer you were always a good friend to me said scrooge thankee you will be haunted resumed the ghost by three spirits scrooges countenance fell almost as low as the ghosts had done,of will ebenezer and chance haunted a as spirits be done thankee always hope as scrooges good had three ghost my almost you low procuring to the countenance ghosts said a by were the you fell friend scrooge resumed me
231,is that the chance and hope you mentioned jacob he demanded in a faltering voice,he mentioned chance is and faltering the a you in hope voice demanded that jacob
232,it is ii think id rather not said scrooge without their visits said the ghost you cannot hope to shun the path i tread,it ii visits id the path scrooge said without you ghost hope to is cannot think not rather their i the shun said tread
233,expect the first tomorrow when the bell tolls one couldnt i take em all at once and have it over jacob hinted scrooge expect the second on the next night at the same hour,it bell hinted expect the same the at second next and tomorrow at jacob over couldnt em take the the scrooge hour all expect when first have the i one on tolls night once
234,the third upon the next night when the last stroke of twelve has ceased to vibrate,the night vibrate third has ceased to last when next stroke upon the the twelve of
235,look to see me no more and look that for your own sake you remember what has passed between us when it had said these words the spectre took its wrapper from the table and bound it round its head as before,sake as see your when from the bound and took spectre remember wrapper said its has more look had table and you own what to round no these before the for us look it between its it words head that me passed
236,scrooge knew this by the smart sound its teeth made when the jaws were brought together by the bandage,when sound were bandage knew together scrooge by teeth made this brought the the the smart jaws its by
237,he ventured to raise his eyes again and found his supernatural visitor confronting him in an erect attitude with its chain wound over and about its arm,ventured and arm his with about in and visitor confronting erect found raise wound he over an his supernatural to him again its its eyes chain attitude
238,the apparition walked backward from him and at every step it took the window raised itself a little so that when the spectre reached it it was wide open,the itself the the it backward wide little when a raised spectre it step every from him walked was and apparition so that window at took reached open it
239,it beckoned scrooge to approach which he did,beckoned approach he it scrooge to did which
240,when they were within two paces of each other marleys ghost held up its hand warning him to come no nearer,held nearer hand its no when to two were him they other marleys paces of ghost within warning up each come
241,scrooge stopped,scrooge stopped
242,not so much in obedience as in surprise and fear for on the raising of the hand he became sensible of confused noises in the air incoherent sounds of lamentation and regret wailings inexpressibly sorrowful and selfaccusatory,of and incoherent hand selfaccusatory sorrowful not lamentation in confused for regret inexpressibly in fear the much the and became in obedience and he so the surprise of sounds wailings as sensible noises on air of raising
243,the spectre after listening for a moment joined in the mournful dirge and floated out upon the bleak dark night,for a out the in floated listening the after joined dark spectre bleak upon dirge mournful the night moment and
244,scrooge followed to the window desperate in his curiosity,curiosity desperate to followed his scrooge the window in
245,he looked out,looked out he
246,the air was filled with phantoms wandering hither and thither in restless haste and moaning as they went,phantoms in haste went filled restless thither air moaning and and with the wandering was they as hither
247,every one of them wore chains like marleys ghost some few (they might be guilty governments) were linked together none were free,them none were were chains be ghost some guilty governments) together few linked one (they might free like marleys of wore every
248,many had been personally known to scrooge in their lives,lives to had many their personally in been scrooge known
249,he had been quite familiar with one old ghost in a white waistcoat with a monstrous iron safe attached to its ankle who cried piteously at being unable to assist a wretched woman with an infant whom it saw below upon a doorstep,wretched with an to he with who a saw familiar below it one been doorstep to unable whom upon attached infant ankle at woman a its waistcoat white a monstrous cried quite piteously had in with ghost being safe a iron assist old
250,the misery with them all was clearly that they sought to interfere for good in human matters and had lost the power for ever,with that lost ever them sought in for for clearly misery interfere to good power the and was all had the matters human they
251,whether these creatures faded into mist or mist enshrouded them he could not tell,faded these whether mist them or tell enshrouded could not mist into he creatures
252,but they and their spirit voices faded together and the night became as it had been when he walked home,the they night together voices as when spirit and but been he home it became walked their and had faded
253,scrooge closed the window and examined the door by which the ghost had entered,which closed had door the window by and the the entered ghost scrooge examined
254,it was doublelocked as he had locked it with his own hands and the bolts were undisturbed,his he it with undisturbed locked the as had hands and it own bolts were doublelocked was
255,he tried to say humbug but stopped at the first syllable,the humbug to he but at first stopped say tried syllable
256,and being from the emotion he had undergone or the fatigues of the day or his glimpse of the invisible world or the dull conversation of the ghost or the lateness of the hour much in need of repose went straight to bed without undressing and fell asleep upon the instant,of in ghost the of fell of being and his of had the or glimpse from straight asleep or emotion hour the or day instant of much the upon need he and the the conversation undressing dull went fatigues the the without invisible to or the world repose lateness undergone bed
257,stave ii the first of the three spirits when scrooge awoke it was so dark that looking out of bed he could scarcely distinguish the transparent window from the opaque walls of his chamber,awoke looking could scrooge of ii the when was spirits distinguish dark so transparent bed of that the the of chamber from opaque it first window walls stave out his three scarcely the he
258,he was endeavouring to pierce the darkness with his ferret eyes when the chimes of a neighbouring church struck the four quarters,of endeavouring the church the a eyes chimes the his was pierce darkness he when with four quarters to neighbouring struck ferret
259,so he listened for the hour,he listened for the so hour
260,to his great astonishment the heavy bell went on from six to seven and from seven to eight and regularly up to twelve then stopped,and heavy to went to seven and great astonishment from then on the up his stopped seven twelve from regularly to bell six eight to
261,twelve it was past two when he went to bed,went when was bed to past he it two twelve
262,the clock was wrong,was clock the wrong
263,an icicle must have got into the works,into works got icicle have the an must
264,twelve he touched the spring of his repeater to correct this most preposterous clock,the his this most clock he correct preposterous spring to of touched repeater twelve
265,its rapid little pulse beat twelve and stopped,its stopped beat pulse rapid and twelve little
266,why it isnt possible said scrooge that i can have slept through a whole day and far into another night,a why scrooge possible far whole i into can isnt and day another night slept that said through have it
267,it isnt possible that anything has happened to the sun and this is twelve at noon the idea being an alarming one he scrambled out of bed and groped his way to the window,alarming one happened anything this noon is he of the to bed scrambled the has at possible the way an that and being and his groped window out it sun twelve to idea isnt
268,he was obliged to rub the frost off with the sleeve of his dressinggown before he could see anything and could see very little then,he could anything dressinggown little obliged very see frost before was could the rub to sleeve he the see then and his with of off
269,all he could make out was that it was still very foggy and extremely cold and that there was no noise of people running to and fro and making a great stir as there unquestionably would have been if night had beaten off bright day and taken possession of the world,he night the that if all been and was as was that unquestionably off noise would no very it cold running possession people stir out there of to bright fro great extremely make still foggy and of day had and could making taken have there and a and world beaten was
270,this was a great relief because three days after sight of this first of exchange pay to mr ebenezer scrooge or his order and so forth would have become a mere united states security if there were no days to count by,no exchange to because states if of this was mr become by so relief his have three after a united or scrooge ebenezer great a count this security there would first forth and of days mere order sight pay were to days
271,scrooge went to bed again and thought and thought and thought it over and over and over and could make nothing of it,and thought thought it again scrooge make over could bed and and to over and of nothing and and it went over thought
272,the more he thought the more perplexed he was and the more he endeavoured not to think the more he thought,he more endeavoured to perplexed thought and he the he more think the was thought he the the more more not
273,marleys ghost bothered him exceedingly,him bothered marleys exceedingly ghost
274,every time he resolved within himself after mature inquiry that it was all a dream his mind flew back again like a strong spring released to its first position and presented the same problem to be worked all through was it a dream or not scrooge lay in this state until the chime had gone three quarters more when he remembered on a sudden that the ghost had warned him of a visitation when the bell tolled one,in three until had was the same sudden state tolled more time that himself a had on was position visitation released back presented the when to problem lay it scrooge worked spring like when be the mind of remembered he inquiry a him through warned all its again first after that ghost strong not dream a within a every chime he or flew a mature to his bell all one resolved and this quarters dream gone the it
275,he resolved to lie awake until the hour was passed and considering that he could no more go to sleep than go to heaven this was perhaps the wisest resolution in his power,wisest to could than his in considering lie that was to sleep he go this he was passed resolved go awake to power more perhaps until the resolution heaven no the and hour
276,the quarter was so long that he was more than once convinced he must have sunk into a doze unconsciously and missed the clock,was clock unconsciously sunk doze convinced long into have and must that was the than once a he so missed the he more quarter
277,at length it broke upon his listening ear,at broke listening his it length upon ear
278,ding dong a quarter past said scrooge counting,counting past scrooge ding quarter said dong a
279,ding dong halfpast said scrooge ding dong a quarter to it said scrooge ding dong the hour itself said scrooge triumphantly and nothing else he spoke before the hour bell sounded which it now did with a deep dull hollow melancholy one light flashed up in the room upon the instant and the curtains of his bed were drawn,dull melancholy a he triumphantly curtains light in itself it it one ding and the which room said before bell upon of up ding his bed now the ding hour scrooge halfpast did scrooge the to quarter hour and the a instant were spoke flashed said deep drawn dong sounded the nothing dong said scrooge else dong hollow with
280,the curtains of his bed were drawn aside i tell you by a hand,his tell of drawn aside bed the a by you curtains were hand i
281,not the curtains at his feet nor the curtains at his back but those to which his face was addressed,the curtains his feet nor not his the those but which curtains at at face addressed to was back his
282,the curtains of his bed were drawn aside and scrooge starting up into a halfrecumbent attitude found himself face to face with the unearthly visitor who drew them as close to it as i am now to you and i am standing in the spirit at your elbow,your to visitor to the spirit in scrooge am into as face i curtains them of the as i you now bed found were starting drew and at the unearthly a attitude it to his elbow halfrecumbent with up standing who am and himself aside face close drawn
283,it was a strange figurelike a child yet not so like a child as like an old man viewed through some supernatural medium which gave him the appearance of having receded from the view and being diminished to a childs proportions,which a and a viewed not like to supernatural view child child it was medium an him old receded a of as appearance through figurelike diminished so childs like gave from proportions strange yet some the man having being a the
284,its hair which hung about its neck and down its back was white as if with age and yet the face had not a wrinkle in it and the tenderest bloom was on the skin,hung about hair if not age and its on back bloom as the with was and skin the wrinkle which neck its was white its had the face yet it a and tenderest in down
285,the arms were very long and muscular the hands the same as if its hold were of uncommon strength,long hold uncommon were arms very the the and hands its if of as same the strength muscular were
286,its legs and feet most delicately formed were like those upper members bare,and delicately bare formed those upper like most feet members were legs its
287,it wore a tunic of the purest white and round its waist was bound a lustrous belt the sheen of which was beautiful,the waist its a it was wore of which white beautiful purest sheen of belt the bound lustrous tunic was and a round
288,it held a branch of fresh green holly in its hand and in singular contradiction of that wintry emblem had its dress trimmed with summer flowers,a green holly and its branch trimmed singular of its in had summer in wintry fresh contradiction flowers that of with it dress held emblem hand
289,but the strangest thing about it was that from the crown of its head there sprung a bright clear jet of light by which all this was visible and which was doubtless the occasion of its using in its duller moments a great extinguisher for a cap which it now held under its arm,light held that strangest cap head of doubtless which now of occasion visible was this a moments extinguisher using was sprung crown for a in which duller the about its it there and under great bright thing but from the its by all arm its clear was which it jet its the of a
290,even this though when scrooge looked at it with increasing steadiness was not its strangest quality,quality this strangest though at with not increasing its even it steadiness scrooge was looked when
291,for as its belt sparkled and glittered now in one part and now in another and what was light one instant at another time was dark so the figure itself fluctuated in its distinctness being now a thing with one arm now with one leg now with twenty legs now a pair of legs without a head now a head without a body of which dissolving parts no outline would be visible in the dense gloom wherein they melted away,outline twenty was parts instant a the body distinctness leg in with the itself in a belt as arm another a was which of being a what its would head they a head with light so time no melted now in now one sparkled part without dissolving be of now figure now in without its and for wherein one now fluctuated and pair at another now thing away legs one one gloom glittered now dark dense and with visible legs
292,and in the very wonder of this it would be itself again distinct and clear as ever,be and as distinct this clear ever would in the itself and of very it again wonder
293,are you the spirit sir whose coming was foretold to me asked scrooge i am the voice was soft and gentle,and to the gentle foretold whose me coming was you was asked soft sir the am scrooge i voice are spirit
294,singularly low as if instead of being so close beside him it were at a distance,it beside as a if were singularly him instead at low distance of so close being
295,who and what are you scrooge demanded,demanded who you are and what scrooge
296,i am the ghost of christmas past long past inquired scrooge observant of its dwarfish stature,past i scrooge observant am past christmas long of of its stature the inquired ghost dwarfish
297,no,no
298,your past perhaps scrooge could not have told anybody why if anybody could have asked him but he had a special desire to see the spirit in his cap and begged him to be covered,him to have the have a see not anybody if covered had perhaps asked why special could in desire and told he anybody past but your spirit his be to scrooge could him begged cap
299,what exclaimed the ghost would you so soon put out with worldly hands the light i give is it not enough that you are one of those whose passions made this cap and force me through whole trains of years to wear it low upon my brow scrooge reverently disclaimed all intention to offend or any knowledge of having wilfully bonneted the spirit at any period of his life,one scrooge offend it wear spirit give any wilfully knowledge you any me of that trains force it at and light brow to the whole having would soon cap through of or of with the period ghost passions his enough of reverently you put hands to made those upon not low whose out what my so worldly all intention the i life are is disclaimed years this exclaimed bonneted
300,he then made bold to inquire what business brought him there,bold made there brought him to inquire business what he then
301,your welfare said the ghost scrooge expressed himself much obliged but could not help thinking that a night of unbroken rest would have been more conducive to that end,been night your more obliged not the help expressed to scrooge said unbroken himself a end thinking welfare ghost much conducive have could would but that of rest that
302,the spirit must have heard him thinking for it said immediately your reclamation then,must for thinking the spirit him said it have reclamation then immediately heard your
303,take heed it put out its strong hand as it spoke and clasped him gently by the arm,out put by and it the strong as its heed it clasped hand take him arm gently spoke
304,rise and walk with me it would have been in vain for scrooge to plead that the weather and the hour were not adapted to pedestrian purposes that bed was warm and the thermometer a long way below freezing that he was clad but lightly in his slippers dressinggown and nightcap and that he had a cold upon him at that time,was long in and purposes vain been and dressinggown his cold plead walk below to was have time and would pedestrian not he freezing that nightcap had scrooge weather me that for the and the in slippers adapted and rise that that lightly he clad to way with thermometer a it the hour him were but that a warm upon at bed
305,the grasp though gentle as a womans hand was not to be resisted,to womans gentle be as a was resisted the not grasp though hand
306,he rose but finding that the spirit made towards the window clasped his robe in supplication,in he the spirit clasped supplication finding the made rose that window his but robe towards
307,i am a mortal scrooge remonstrated and liable to fall bear but a touch of my hand there said the spirit laying it upon his heart and you shall be upheld in more than this as the words were spoken they passed through the wall and stood upon an open country road with fields on either hand,liable his country the fall as on spoken a road to words they be upon with there were my shall either the stood upheld bear open hand laying hand this more it a mortal through i an remonstrated scrooge you the wall am spirit of said heart in than fields and passed but and and upon touch
308,the city had entirely vanished,entirely city had vanished the
309,not a vestige of it was to be seen,vestige a to was it seen of not be
310,the darkness and the mist had vanished with it for it was a clear cold winter day with snow upon the ground,darkness upon the ground day winter and mist it it cold clear had with vanished was the a the with for snow
311,good heaven said scrooge clasping his hands together as he looked about him,good about his him said together hands he as looked heaven scrooge clasping
312,i was bred in this place,i this in place was bred
313,i was a boy here the spirit gazed upon him mildly,gazed boy was i a him spirit mildly here upon the
314,its gentle touch though it had been light and instantaneous appeared still present to the old mans sense of feeling,instantaneous light sense old still and its though to touch appeared gentle it the feeling been present had mans of
315,he was conscious of a thousand odours floating in the air each one connected with a thousand thoughts and hopes and joys and cares long long forgotten your lip is trembling said the ghost and what is that upon your cheek scrooge muttered with an unusual catching in his voice that it was a pimple and begged the ghost to lead him where he would,his trembling with your scrooge air and thousand your where in is is ghost hopes unusual of muttered said begged long was cheek it that would in he catching a cares conscious him the and and each was upon an a a thousand the connected that joys ghost floating odours long lip thoughts and and he voice what lead with to the forgotten pimple one
316,you recollect the way inquired the spirit remember it cried scrooge with fervour i could walk it blindfold strange to have forgotten it for so many years observed the ghost let us go on they walked along the road scrooge recognising every gate and post and tree until a little markettown appeared in the distance with its bridge its church and winding river,scrooge river way in and markettown walked it fervour a winding the and could cried until to distance spirit the for observed years inquired bridge on road the gate they along go forgotten scrooge every recognising church the you the us walk strange blindfold recollect so i it with it with appeared its tree remember its have little and post many ghost let
317,some shaggy ponies now were seen trotting towards them with boys upon their backs who called to other boys in country gigs and carts driven by farmers,by called were some carts in other gigs to towards boys farmers shaggy who trotting ponies them backs boys now country upon seen and driven their with
318,all these boys were in great spirits and shouted to each other until the broad fields were so full of merry music that the crisp air laughed to hear it these are but shadows of the things that have been said the ghost they have no consciousness of us the jocund travellers came on and as they came scrooge knew and named them every one,fields music and to and been and said to the the came knew so jocund but hear are boys air spirits laughed in each ghost of of have the us of every these merry shouted came scrooge it have great other that no named the one travellers the were broad consciousness things they they were all until on as shadows crisp full them that these
319,why was he rejoiced beyond all bounds to see them why did his cold eye glisten and his heart leap up as they went past why was he filled with gladness when he heard them give each other merry christmas as they parted at crossroads and byeways for their several homes what was merry christmas to scrooge out upon merry christmas what good had it ever done to him the school is not quite deserted said the ghost a solitary child neglected by his friends is left there still scrooge said he knew it,knew cold beyond at to each said was upon heart done a school merry merry quite all scrooge give rejoiced was friends he why when see to christmas several byeways him them neglected his went scrooge by the to is ever his what christmas past and as they filled glisten christmas with said homes left heard leap there solitary up still other they crossroads had his why child their it why he bounds them ghost as for good he merry eye parted what is out was it he and the gladness not deserted did
320,and he sobbed,and he sobbed
321,they left the highroad by a wellremembered lane and soon approached a mansion of dull red brick with a little weathercocksurmounted cupola on the roof and a bell hanging in it,little weathercocksurmounted by they in mansion with on dull brick a a and left a lane soon of cupola highroad hanging and the red bell the approached a it wellremembered roof
322,it was a large house but one of broken fortunes for the spacious offices were little used their walls were damp and mossy their windows broken and their gates decayed,and fortunes a gates their broken for large and mossy were house one walls it offices were their was but broken their decayed used spacious the windows little of damp
323,fowls clucked and strutted in the stables and the coachhouses and sheds were overrun with grass,sheds the grass overrun coachhouses with and and in strutted were clucked and fowls stables the
324,nor was it more retentive of its ancient state within for entering the dreary hall and glancing through the open doors of many rooms they found them poorly furnished cold and vast,doors dreary poorly through of ancient retentive state rooms within and was hall they them furnished open and entering for cold glancing it the nor of the vast more found many its
325,there was an earthy savour in the air a chilly bareness in the place which associated itself somehow with too much getting up by candlelight and not too much to eat,not much the much earthy bareness there up an a eat the with place in somehow too getting to savour chilly by itself too air candlelight associated was in which and
326,they went the ghost and scrooge across the hall to a door at the back of the house,they across the hall and the to at ghost the the went door a back house scrooge of
327,it opened before them and disclosed a long bare melancholy room made barer still by lines of plain deal forms and desks,by still room forms of long opened it melancholy desks a lines and before made barer bare deal disclosed plain and them
328,at one of these a lonely boy was reading near a feeble fire and scrooge sat down upon a form and wept to see his poor forgotten self as he used to be,and near be forgotten down of one used these reading as feeble self poor at and his upon fire he boy to lonely wept a a sat see form was scrooge a to
329,not a latent echo in the house not a squeak and scuffle from the mice behind the panelling not a drip from the halfthawed waterspout in the dull yard behind not a sigh among the leafless boughs of one despondent poplar not the idle swinging of an empty storehouse door no not a clicking in the fire but fell upon the heart of scrooge with a softening influence and gave a freer passage to his tears,a the influence and idle upon a latent of a the an passage gave from not door not not in the in the behind scuffle but in not to squeak with yard a the behind mice poplar echo no tears fire among boughs not freer softening from the halfthawed of dull scrooge a despondent swinging the the heart panelling a and drip not empty leafless sigh the fell clicking one a his storehouse of house waterspout
330,the spirit touched him on the arm and pointed to his younger self intent upon his reading,younger upon the spirit and arm reading his to touched self intent his the him pointed on
331,suddenly a man in foreign garments wonderfully real and distinct to look at stood outside the window with an axe stuck in his belt and leading by the bridle an ass laden with wood,and ass the foreign with in outside stood by an man real with in garments the wonderfully look bridle suddenly belt leading distinct at to stuck wood window his laden a axe an and
332,why its ali baba scrooge exclaimed in ecstasy,why ecstasy in exclaimed its baba scrooge ali
333,its dear old honest ali baba yes yes i know one christmas time when yonder solitary child was left here all alone he did come for the first time just like that,solitary its christmas first yonder the i honest old one ali yes for like when that left all time just child baba come here alone yes he was did time dear know
334,poor boy and valentine said scrooge and his wild brother orson there they go and whats his name who was put down in his drawers asleep at the gate of damascus dont you see him and the sultans groom turned upside down by the genii there he is upon his head serve him right,down and and there brother go right sultans orson his poor asleep his upon him head drawers you by groom is was the put him they turned there boy genii damascus his upside dont and down serve name at and he the see scrooge the who whats of said valentine wild his in gate
335,im glad of it,of it glad im
336,what business had he to be married to the princess to hear scrooge expending all the earnestness of his nature on such subjects in a most extraordinary voice between laughing and crying and to see his heightened and excited face would have been a surprise to his business friends in the city indeed,all expending his hear and a what excited a the the his scrooge business to the most in nature been his extraordinary and to of surprise and crying had to on see heightened to between earnestness be married friends business would city in subjects have face voice laughing such to he indeed princess
337,theres the parrot cried scrooge green body and yellow tail with a thing like a lettuce growing out of the top of his head there he is poor robin crusoe he called him when he came home again after sailing round the island,tail parrot growing island green the of with top came poor there him he he a round the his is home of scrooge again crusoe theres like thing body a the head yellow cried out sailing robin called after and when he lettuce
338,poor robin crusoe where have you been robin crusoe the man thought he was dreaming but he wasnt,man been was robin the but robin crusoe dreaming he he thought wasnt crusoe where poor you have
339,it was the parrot you know,know the you parrot was it
340,there goes friday running for his life to the little creek halloa hoop halloo then with a rapidity of transition very foreign to his usual character he said in pity for his former self poor boy and cried again,for his said rapidity poor then cried and life again pity a of there boy usual he to creek his in self goes former running hoop friday with very for little character halloa foreign his to halloo the transition
341,i wish scrooge muttered putting his hand in his pocket and looking about him after drying his eyes with his cuff but its too late now what is the matter asked the spirit nothing said scrooge nothing,matter with what wish about asked spirit its cuff muttered but his said i after nothing is the his eyes too scrooge the his drying and hand now him late pocket putting looking in nothing scrooge his
342,there was a boy singing a christmas carol at my door last night,my a at door carol christmas boy night singing last was there a
343,i should like to have given him something thats all the ghost smiled thoughtfully and waved its hand saying as it did so let us see another christmas scrooges former self grew larger at the words and the room became a little darker and more dirty,the smiled all and to thats its grew more the have another a as scrooges it him the us like ghost and waved given saying self something i and former thoughtfully words dirty became so little darker larger see did room christmas should hand at let
344,the panels shrunk the windows cracked fragments of plaster fell out of the ceiling and the naked laths were shown instead but how all this was brought about scrooge knew no more than you do,cracked naked panels out fragments do the plaster about were knew and instead of fell the scrooge all more you this how but no shrunk the the than laths brought ceiling of shown was windows
345,he only knew that it was quite correct that everything had happened so that there he was alone again when all the other boys had gone home for the jolly holidays,other happened again the home had so he jolly he boys alone had for was knew that quite it the there was all holidays that when gone that only correct everything
346,he was not reading now but walking up and down despairingly,reading now but he despairingly and walking not was up down
347,scrooge looked at the ghost and with a mournful shaking of his head glanced anxiously towards the door,a with head of looked ghost the shaking door anxiously at the mournful and glanced his towards scrooge
348,it opened and a little girl much younger than the boy came darting in and putting her arms about his neck and often kissing him addressed him as her dear dear brother i have come to bring you home dear brother said the child clapping her tiny hands and bending down to laugh,the bending arms girl addressed come than have and brother to and putting opened his child and younger hands boy home her and her much it about to her said the him darting bring brother tiny dear dear often clapping neck dear came you little kissing i a laugh in as him down
349,to bring you home home home home little fan returned the boy,returned to home little bring the home boy home you home fan
350,yes said the child brimful of glee,child said brimful the yes glee of
351,home for good and all,all for good and home
352,home for ever and ever,ever for home and ever
353,father is so much kinder than he used to be that homes like heaven he spoke so gently to me one dear night when i was going to bed that i was not afraid to ask him once more if you might come home and he said yes you should and sent me in a coach to bring you,heaven coach in if homes more that to one used be sent yes father was was should you so and than is like night home dear spoke and gently so he he ask kinder said that to i to me come bring me he him once not afraid bed you might you to much going when to a i
354,and youre to be a man said the child opening her eyes and are never to come back here but first were to be together all the christmas long and have the merriest time in all the world you are quite a woman little fan exclaimed the boy,be and the have christmas to to opening all are the to child are time merriest but boy the said fan a world first man the come in a back you long eyes her woman were never together exclaimed all and little the here be quite and youre
355,she clapped her hands and laughed and tried to touch his head but being too little laughed again and stood on tiptoe to embrace him,tried she touch being again laughed clapped laughed but too and tiptoe hands his to him her to little embrace and and on head stood
356,then she began to drag him in her childish eagerness towards the door and he nothing loth to go accompanied her,and eagerness the nothing began then he she her drag in towards to accompanied her go him loth door childish to
357,a terrible voice in the hall cried bring down master scrooges box there and in the hall appeared the schoolmaster himself who glared on master scrooge with a ferocious condescension and threw him into a dreadful state of mind by shaking hands with him,master box scrooge him there on voice down a him by hands in bring a appeared a with and shaking cried dreadful of in hall the hall into himself the terrible mind threw who state master condescension scrooges schoolmaster the with ferocious and glared
358,he then conveyed him and his sister into the veriest old well of a shivering bestparlour that ever was seen where the maps upon the wall and the celestial and terrestrial globes in the windows were waxy with cold,bestparlour windows shivering upon waxy he him with seen and then veriest a the of in the ever globes old and into where the was sister were terrestrial wall maps the cold the that well his celestial conveyed and
359,here he produced a decanter of curiously light wine and a block of curiously heavy cake and administered instalments of those dainties to the young people at the same time sending out a meagre servant to offer a glass of something to the postboy who answered that he thanked the gentleman but if it was the same tap as he had tasted before he had rather not,the dainties cake young but produced at of gentleman heavy out and thanked servant tasted he he had he block a time rather glass and answered the of not same of administered tap the postboy it people he wine those instalments offer the curiously a who of before something a light same to was that a if here to the meagre as had sending curiously decanter to
